223.15	0	  50	0.1564  0.83502       1.6938
223.15	0	  100	0.1564  0.83502       1.6938
223.15	0	  150	0.1564  0.83502       1.6938
223.15	0	  200	0.1564  0.83502       1.6938
223.15	0	  250	0.1564  0.83502       1.6938
223.15	0  	300	0.1564  0.83502       1.6938
223.15	0	  350	0.1564  0.83502       1.6938
223.15	0	  400	0.1564  0.83502       1.6938
223.15	10	50	0.1564  0.60339       2.852
223.15	10	100	0.15638 0.77503       1.9742
223.15	10	150	0.15638 0.82291       1.8105
223.15	10	200	0.15638 0.86458       1.6743
223.15	10	250	0.15639 0.87258       1.6562
223.15	10	300	0.15639 0.86788       1.6863
223.15	10	350	0.15639 0.87289       1.6652
223.15	10	400	0.15639 0.89628       1.5565
223.15	20	50	0.15651 0.62573       2.4887
223.15	20	100	0.15642 0.57001       3.0283
223.15	20	150	0.15639 0.69034       2.3387
223.15	20	200	0.15638 0.77428       1.9742
223.15	20	250	0.15638 0.82214       1.8165
223.15	20	300	0.15638 0.86882       1.66
223.15	20	350	0.15639 0.87177       1.6615
223.15	20	400	0.15639 0.86167       1.7082
223.15	30	50	0.15671 0.96147       1.2466
223.15	30	100	0.15648 0.57298       2.8807
223.15	30	150	0.15642 0.55368       3.1553
223.15	30	200	0.15639 0.65237       2.5546
223.15	30	250	0.15638 0.77118       1.9839
223.15	30	300	0.15638 0.8107        1.8534
223.15	30	350	0.15638 0.8665        1.6678
223.15	30	400	0.15639 0.85988       1.7106
223.15	40	50	0.15701 2.8641        0.076821
223.15	40	100	0.15659 0.7381        1.9068
223.15	40	150	0.15646 0.56655       2.9442
223.15	40	200	0.15641 0.57282       3.0022
223.15	40	250	0.15639 0.6628        2.495
223.15	40	300	0.15638 0.77603       1.9678
223.15	40	350	0.15638 0.8324        1.782
223.15	40	400	0.15639 0.87553       1.6451
223.15	50	50	0.1574  37.983        3.4546e-21
223.15	50	100	0.15673 0.99871       1.1763
223.15	50	150	0.15653 0.64554       2.3642
223.15	50	200	0.15644 0.56748       2.9707
223.15	50	250	0.1564  0.59397       2.8863
223.15	50	300	0.15639 0.72475       2.1845
223.15	50	350	0.15638 0.79767       1.8959
223.15	50	400	0.15638 0.86326       1.6827
223.15	60	50	0.15788 51.277        1.1782e-23
223.15	60	100	0.1569  1.8251        0.32928
223.15	60	150	0.1566  0.7703        1.7948
223.15	60	200	0.15648 0.57261       2.8841
223.15	60	250	0.15642 0.55446       3.135
223.15	60	300	0.15639 0.6465        2.5931
223.15	60	350	0.15638 0.77868       1.9555
223.15	60	400	0.15638 0.85142       1.7187
223.15	70	50	0.15845 73.116        7.4401e-28
223.15	70	100	0.15711 20.131        8.8884e-13
223.15	70	150	0.1567  0.9348        1.3113
223.15	70	200	0.15653 0.64565       2.3638
223.15	70	250	0.15644 0.55034       3.1284
223.15	70	300	0.1564  0.58973       2.9298
223.15	70	350	0.15639 0.75996       2.0299
223.15	70	400	0.15638 0.83321       1.7765
223.15	80	50	0.15911 97.023        1.1266e-30
223.15	80	100	0.15735 33.112        7.132e-19
223.15	80	150	0.15681 1.3364        0.67439
223.15	80	200	0.15658 0.72231       1.9746
223.15	80	250	0.15647 0.57455       2.8666
223.15	80	300	0.15641 0.57265       3.0033
223.15	80	350	0.15639 0.69729       2.3217
223.15	80	400	0.15638 0.81447       1.8396
223.15	90	50	0.15986 79.048        4.0472e-21
223.15	90	100	0.15762 44.008        2.1568e-22
223.15	90	150	0.15694 2.1221        0.21707
223.15	90	200	0.15664 0.8431        1.5375
223.15	90	250	0.1565  0.61112       2.5912
223.15	90	300	0.15643 0.54798       3.1767
223.15	90	350	0.15639 0.66421       2.4895
223.15	90	400	0.15638 0.79272       1.9143
223.15	100	50	0.16069 116.03        1.2799e-26
223.15	100	100	0.15793 52.638        9.2326e-24
223.15	100	150	0.15708 4.3558        0.010751
223.15	100	200	0.15672 0.96557       1.2381
223.15	100	250	0.15653 0.65544       2.3133
223.15	100	300	0.15644 0.5467        3.1581
223.15	100	350	0.1564  0.60498       2.8429
223.15	100	400	0.15638 0.77946       1.9616
223.15	110	50	0.16162 127.95        3.4262e-25
223.15	110	100	0.15828 68.884        1.04e-27
223.15	110	150	0.15724 27.116        4.2455e-16
223.15	110	200	0.1568  1.3034        0.69824
223.15	110	250	0.15657 0.705         2.0523
223.15	110	300	0.15646 0.55929       3.0119
223.15	110	350	0.15641 0.59573       2.8726
223.15	110	400	0.15638 0.78043       1.9481
223.15	120	50	0.16263 140.5         1.8911e-23
223.15	120	100	0.15865 81.978        3.063e-29
223.15	120	150	0.15742 34.724        3.8245e-19
223.15	120	200	0.15688 1.7126        0.38419
223.15	120	250	0.15662 0.79457       1.6995
223.15	120	300	0.15648 0.57087       2.9005
223.15	120	350	0.15641 0.57696       2.9814
223.15	120	400	0.15639 0.75479       2.0546
223.15	130	50	0.16373 170.99        6.1526e-24
223.15	130	100	0.15906 97.655        3.4108e-31
223.15	130	150	0.15761 46.834        6.8888e-24
223.15	130	200	0.15698 2.5261        0.1228
223.15	130	250	0.15667 0.85902       1.4975
223.15	130	300	0.1565  0.61212       2.5794
223.15	130	350	0.15642 0.54558       3.2158
223.15	130	400	0.15639 0.73823       2.1249
223.15	140	50	0.16493 194.16        1.8329e-22
223.15	140	100	0.15951 90.103        6.6523e-26
223.15	140	150	0.15782 46.217        7.4286e-22
223.15	140	200	0.15709 4.4606        0.0093537
223.15	140	250	0.15672 0.96317       1.2421
223.15	140	300	0.15653 0.64812       2.3515
223.15	140	350	0.15643 0.54376       3.196
223.15	140	400	0.15639 0.71843       2.2109
223.15	150	50	0.16621 309.57        1.9281e-29
223.15	150	100	0.15998 78.074        2.3168e-20
223.15	150	150	0.15805 57.005        9.2341e-25
223.15	150	200	0.1572  29.519        8.0797e-18
223.15	150	250	0.15678 1.2006        0.83553
223.15	150	300	0.15655 0.68166       2.1701
223.15	150	350	0.15644 0.53911       3.2471
223.15	150	400	0.15639 0.69748       2.3019
223.15	160	50	0.16757 0.013411      12619
223.15	160	100	0.16049 107.38        1.1989e-25
223.15	160	150	0.15829 65.489        2.8074e-26
223.15	160	200	0.15732 40.058        4.9367e-23
223.15	160	250	0.15684 1.4774        0.5295
223.15	160	300	0.15658 0.72129       1.9781
223.15	160	350	0.15645 0.54102       3.1948
223.15	160	400	0.15639 0.64733       2.5944
223.15	170	50	0.16903 0.01242       17825
223.15	170	100	0.16103 98.683        2.5639e-21
223.15	170	150	0.15855 70.368        4.5572e-26
223.15	170	200	0.15745 41.695        1.1427e-22
223.15	170	250	0.1569  1.825         0.33004
223.15	170	300	0.15661 0.78045       1.7608
