2016,10,4,0,1,4326668,235116,3239,-5.35,82.4,0.74,155.8,0
2016,10,4,1,1,4326668,235116,3239,-5.89,81,1.12,168.8,0
2016,10,4,2,1,4326668,235116,3239,-5.85,87.1,0.9,174.2,0
2016,10,4,3,1,4326668,235116,3239,-6.02,93.5,0.85,165.8,0
2016,10,4,4,1,4326668,235116,3239,-6.06,86.8,0.74,273,0
2016,10,4,5,1,4326668,235116,3239,-6.18,84.6,0.6,292.4,0
2016,10,4,6,1,4326668,235116,3239,-6.54,78.78,1.25,275,0
2016,10,4,7,1,4326668,235116,3239,-6.75,81.4,1.12,270.1,0
2016,10,4,8,1,4326668,235116,3239,-6.99,74.33,1.04,291.1,0
2016,10,4,9,1,4326668,235116,3239,-4.98,69.75,0.67,307.6,0
2016,10,4,10,1,4326668,235116,3239,-2.7,65.5,1.2,279.3,0
2016,10,4,11,1,4326668,235116,3239,-2.86,61.89,1.29,249.2,0
2016,10,4,12,1,4326668,235116,3239,-1.33,45.38,1.69,259,0
2016,10,4,13,1,4326668,235116,3239,0.29,39.16,1.66,243.8,0
2016,10,4,14,1,4326668,235116,3239,0.68,41.75,1.89,247.8,0
2016,10,4,15,1,4326668,235116,3239,1.05,41.2,1.99,235.2,0
2016,10,4,16,1,4326668,235116,3239,1.06,37.6,1.79,256.1,0
2016,10,4,17,1,4326668,235116,3239,1.12,39.54,1.79,261.1,0
2016,10,4,18,1,4326668,235116,3239,0.25,45.52,1.51,265.6,0
2016,10,4,19,1,4326668,235116,3239,-1.91,52.49,0.73,256.5,0
2016,10,4,20,1,4326668,235116,3239,-3.43,58.54,0.53,190.1,0
2016,10,4,21,1,4326668,235116,3239,-3.32,52.79,0.88,205.5,0
2016,10,4,22,1,4326668,235116,3239,-3.05,55.41,1.29,199.3,0
2016,10,4,23,1,4326668,235116,3239,-2.83,58.06,0.83,205.2,0
2016,10,5,0,1,4326668,235116,3239,-3,62.03,1.15,169.1,0
2016,10,5,1,1,4326668,235116,3239,-3.01,59.35,2.34,184.8,0
2016,10,5,2,1,4326668,235116,3239,-3.09,56.77,3,186.4,0
2016,10,5,3,1,4326668,235116,3239,-2.88,59.05,2.55,184.5,0
2016,10,5,4,1,4326668,235116,3239,-2.83,58.37,2.67,184.6,0
2016,10,5,5,1,4326668,235116,3239,-3.19,59.45,2.95,189.7,0
2016,10,5,6,1,4326668,235116,3239,-3.43,59.22,3.14,189.5,0
2016,10,5,7,1,4326668,235116,3239,-3.9,59.96,3.29,183.1,0
2016,10,5,8,1,4326668,235116,3239,-3.38,53.17,3.33,184.1,0
2016,10,5,9,1,4326668,235116,3239,-1.81,52.62,2.98,200.7,0
2016,10,5,10,1,4326668,235116,3239,0.61,40.9,2.81,196.2,0
2016,10,5,11,1,4326668,235116,3239,1.3,43.51,3.3,203.1,0
2016,10,5,12,1,4326668,235116,3239,1.91,38.04,3.24,209.7,0
2016,10,5,13,1,4326668,235116,3239,3.07,32.78,2.93,221.9,0
2016,10,5,14,1,4326668,235116,3239,2.09,38.96,2.93,223.3,0
2016,10,5,15,1,4326668,235116,3239,1.95,40.42,2.1,228.9,0
2016,10,5,16,1,4326668,235116,3239,2.76,41.85,2.16,239.2,0
2016,10,5,17,1,4326668,235116,3239,1.74,43.85,1.9,221.6,0
2016,10,5,18,1,4326668,235116,3239,1.39,47.73,1.42,217.8,0
2016,10,5,19,1,4326668,235116,3239,-0.15,86.8,1.92,206.7,0
2016,10,5,20,1,4326668,235116,3239,-2.33,95,0.93,239.6,0
2016,10,5,21,1,4326668,235116,3239,-2.88,94.7,0.63,262.8,0
2016,10,5,22,1,4326668,235116,3239,-3.32,92.8,0.35,14.8,0
2016,10,5,23,1,4326668,235116,3239,-3.24,97.2,0.57,7.3,0
2016,10,6,0,1,4326668,235116,3239,-3.59,98.1,0.7,52,0
2016,10,6,1,1,4326668,235116,3239,-3.71,98.1,0.55,90.8,0
2016,10,6,2,1,4326668,235116,3239,-3.97,97.5,0.36,83.1,0
2016,10,6,3,1,4326668,235116,3239,-4.41,96.7,0.59,301.1,0
2016,10,6,4,1,4326668,235116,3239,-5.05,93.5,0.3,33.9,0
2016,10,6,5,1,4326668,235116,3239,-6.05,77.9,0.53,230.2,0
2016,10,6,6,1,4326668,235116,3239,-6.98,91.9,0.66,198,0
2016,10,6,7,1,4326668,235116,3239,-7.82,95.2,0.63,171.2,0
2016,10,6,8,1,4326668,235116,3239,-7.75,93.9,0.22,133.1,0
2016,10,6,9,1,4326668,235116,3239,-3.62,71.41,0.57,223.1,0
2016,10,6,10,1,4326668,235116,3239,-1.03,56.29,0.72,273.8,0
2016,10,6,11,1,4326668,235116,3239,-0.53,57.44,0.73,300.6,0
2016,10,6,12,1,4326668,235116,3239,0.76,50.85,0.76,295.5,0
2016,10,6,13,1,4326668,235116,3239,1.13,55.23,0.98,269.3,0
2016,10,6,14,1,4326668,235116,3239,0.9,60.8,1.02,270.8,0
2016,10,6,15,1,4326668,235116,3239,1.58,55.23,1.1,282.6,0
2016,10,6,16,1,4326668,235116,3239,2.1,42.29,0.85,296.7,0
2016,10,6,17,1,4326668,235116,3239,0.36,48.81,0.79,287.9,0
2016,10,6,18,1,4326668,235116,3239,-0.77,57.41,0.56,300.3,0
2016,10,6,19,1,4326668,235116,3239,-2.79,80.6,0.23,153.3,0
2016,10,6,20,1,4326668,235116,3239,-4.63,85.7,0.19,171,0
